"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover In Rs  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"TATACOMM","EQ","05-May-2022","1,038.55","1,057.55","1,122.00","1,007.45","1,019.75","1,020.65","1,039.26","5,97,075","62,05,17,878.20","26,959","1,72,075","28.82"
"TATACOMM","EQ","06-May-2022","1,020.65","1,006.00","1,059.60","999.75","1,050.00","1,037.75","1,036.41","11,25,162","1,16,61,26,029.50","42,211","2,42,628","21.56"
"TATACOMM","EQ","09-May-2022","1,037.75","1,028.70","1,042.70","1,008.00","1,021.85","1,022.85","1,023.16","5,78,547","59,19,43,730.90","22,486","1,46,712","25.36"
"TATACOMM","EQ","10-May-2022","1,022.85","1,019.00","1,042.95","991.60","1,004.75","1,001.90","1,023.20","4,87,168","49,84,72,537.65","21,461","1,65,146","33.90"
"TATACOMM","EQ","11-May-2022","1,001.90","1,013.40","1,024.45","954.40","975.65","972.75","981.01","6,90,092","67,69,84,689.75","36,541","2,21,370","32.08"
"TATACOMM","EQ","12-May-2022","972.75","966.20","977.00","947.25","974.00","974.10","959.99","6,07,197","58,29,00,224.00","26,643","2,59,623","42.76"
"TATACOMM","EQ","13-May-2022","974.10","990.00","994.00","953.15","956.15","964.80","972.95","6,02,775","58,64,70,777.05","27,653","1,95,432","32.42"
"TATACOMM","EQ","16-May-2022","964.80","977.45","983.20","955.80","975.95","970.10","972.00","3,16,654","30,77,88,764.35","17,429","88,138","27.83"
"TATACOMM","EQ","17-May-2022","970.10","975.70","1,009.80","972.00","1,008.00","1,007.90","994.59","3,98,471","39,63,14,801.90","25,196","1,22,652","30.78"
"TATACOMM","EQ","18-May-2022","1,007.90","1,014.95","1,017.40","973.05","986.00","984.55","993.01","6,71,198","66,65,04,014.30","26,451","1,59,174","23.71"
"TATACOMM","EQ","19-May-2022","984.55","964.80","980.60","949.60","972.10","973.40","964.00","5,72,240","55,16,37,668.40","26,614","2,25,396","39.39"
"TATACOMM","EQ","20-May-2022","973.40","980.25","991.95","971.90","979.00","981.20","980.51","2,94,311","28,85,74,026.95","14,982","89,551","30.43"
